Range,class1,class2,class3,class4,class5,class6,class7,class8,total
64,0.142857142857143,0,0,0,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,7
128,0.125,0,0,0.125,0.125,0.125,0.25,0.25,8
192,0.125,0,0,0.125,0.125,0.125,0.25,0.25,8
256,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,9
320,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,9
384,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,9
448,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,9
512,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,10
