Range,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,total
102.3,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
204.6,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
306.9,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
409.2,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
511.5,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
613.8,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
716.1,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
818.4,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
920.7,0.109756097560976,0.280487804878049,0.0975609756097561,0.109756097560976,0.109756097560976,0.109756097560976,0.109756097560976,0.0609756097560976,0.0121951219512195,0,82
1023,0.10989010989011,0.285714285714286,0.0989010989010989,0.10989010989011,0.10989010989011,0.0989010989010989,0.10989010989011,0.0549450549450549,0.010989010989011,0.010989010989011,91
