Range,class1,class2,class3,class4,class5,class6,class7,class8,total
6400,0.125,0,0,0,0.125,0.125,0.25,0.25,8
12800,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,9
19200,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,9
25600,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,10
32000,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,10
38400,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,10
44800,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,10
51200,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,11
